date,station,airT,latitude,longitude
2018-07-01T12:00:00Z,lindenberg,19.4,52.2085,14.118
2018-07-01T12:00:00Z,marzahn,21.3,52.5447,13.5598
2018-07-01T12:00:00Z,muencheberg,19.7,52.5176,14.1232
2018-07-01T12:00:00Z,neuruppin,20.2,52.9037,12.8072
2018-07-01T12:00:00Z,potsdam,22.6,52.3813,13.0622
2018-07-01T12:00:00Z,rothenburg,22.2006,52.457232,13.315827
2018-07-01T12:00:00Z,spandauer,23.0838,52.536388,13.158442
2018-07-01T12:00:00Z,tiergarten,21.9783,52.514492,13.363593
2018-07-01T12:00:00Z,zehdenick,19.5,52.9664,13.3268
2018-07-01T13:00:00Z,airportthf,20.8,52.4675,13.4021
2018-07-01T13:00:00Z,airporttxl,20.7,52.5644,13.3088
2018-07-01T13:00:00Z,albrecht,21.3614,52.444594,13.348607
2018-07-01T13:00:00Z,bamberger,22.4716,52.496494,13.337552
2018-07-01T13:00:00Z,baruth,20.4,52.0613,13.4997
2018-07-01T13:00:00Z,berge,22.4,52.6198,12.7867
2018-07-01T13:00:00Z,brandenburg,20.7,52.3807,13.5306
2018-07-01T13:00:00Z,buch,19.7,52.6309,13.5022
2018-07-01T13:00:00Z,dahlem,21.1,52.4537,13.3017
2018-07-01T13:00:00Z,dahlemerfeld,21.2074,52.477623,13.225339
2018-07-01T13:00:00Z,dessauer,21.0208,52.50467,13.3783
2018-07-01T13:00:00Z,jagen91,20.9248,52.473239,13.225079
2018-07-01T13:00:00Z,kaniswall,21.9,52.404,13.7309
2018-07-01T13:00:00Z,koepenick,21.3875,52.433018,13.615687
2018-07-01T13:00:00Z,lindenberg,20.3,52.2085,14.118
2018-07-01T13:00:00Z,marzahn,20.3,52.5447,13.5598
2018-07-01T13:00:00Z,muencheberg,19.1,52.5176,14.1232
2018-07-01T13:00:00Z,neuruppin,21.4,52.9037,12.8072
2018-07-01T13:00:00Z,potsdam,21.9,52.3813,13.0622
2018-07-01T13:00:00Z,rothenburg,22.0472,52.457232,13.315827
2018-07-01T13:00:00Z,spandauer,22.5303,52.536388,13.158442
2018-07-01T13:00:00Z,tiergarten,21.1225,52.514492,13.363593
2018-07-01T13:00:00Z,zehdenick,19.4,52.9664,13.3268
2018-07-01T14:00:00Z,airportthf,21.9,52.4675,13.4021
2018-07-01T14:00:00Z,airporttxl,20,52.5644,13.3088
2018-07-01T14:00:00Z,albrecht,20.8884,52.444594,13.348607
2018-07-01T14:00:00Z,bamberger,21.4155,52.496494,13.337552
2018-07-01T14:00:00Z,baruth,21.1,52.0613,13.4997
2018-07-01T14:00:00Z,berge,21,52.6198,12.7867
2018-07-01T14:00:00Z,brandenburg,19.9,52.3807,13.5306
2018-07-01T14:00:00Z,buch,19.7,52.6309,13.5022
